Players,Country,Age,Specialism,BattingStyle,BowlingStyle,T20caps,IPL,2021Team,2021IPL,CaUcAs,ReservePrice Rs Lakh,PricePaid,Team
David Wiese,Namibia,36,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,15,Do No Play,0,Associate,50,0,UnSold
Kaif Ahmad,India,24,WICKETKEEPER,RHB,-,0,0,Do No Play,0,Uncapped,20,0,UnSold
Shubhum Arora,India,24,WICKETKEEPER,LHB,-,0,0,Do No Play,0,Uncapped,20,0,UnSold
Baba Indrajith,India,27,WICKETKEEPER,RHB,-,0,0,Do No Play,0,Uncapped,20,2000000,KKR
Arun Karthick,India,36,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,0,17,Do No Play,0,Uncapped,40,0,UnSold
Eknath Kerkar,India,28,WICKETKEEPER,RHB,-,0,0,Do No Play,0,Uncapped,20,0,UnSold
Kennar Lewis,West Indies,30,WICKETKEEPER,RHB,-,0,0,Do No Play,0,Uncapped,40,0,UnSold
Nikhil Naik,India,27,WICKETKEEPER,RHB,-,0,4,Do No Play,0,Uncapped,20,0,UnSold
Urvil Patel,India,23,WICKETKEEPER,RHB,-,0,0,Do No Play,0,Uncapped,20,0,UnSold
BR Sharath,India,25,WICKETKEEPER,RHB,-,0,0,Do No Play,0,Uncapped,20,0,UnSold
KL Shrijith,India,25,WICKETKEEPER,LHB,-,0,0,Do No Play,0,Uncapped,20,0,UnSold
Mohit Avasthi,India,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Sushant Mishra,India,21,BOWLER,LHB,LEFT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Matheesha Pathirana,Sri Lanka,19,BOWLER,RHB,RIGHT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
G Periyasamy,India,28,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
MHarishankar Reddy,India,23,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
R Silambarasan,India,29,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Aditya Thakare,India,23,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Tanveer Ul Haq,India,30,BOWLER,RHB,LEFT ARM Fast,0,0,Do No Play,0,Uncapped,20,0,UnSold
Kuldip Yadav,India,25,BOWLER,LHB,LEFT ARM Fast,0,1,RR,1,Uncapped,20,2000000,RR
Prithviraj Yarra,India,24,BOWLER,LHB,LEFT ARM Fast,0,2,Do No Play,0,Uncapped,20,0,UnSold
Satyajeet Bachhav,India,29,BOWLER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Chintal Gandhi,India,27,BOWLER,LHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Jacob Lintott,England,28,BOWLER,RHB,LEFT ARM Slow Unorthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Izharulhuq Naveed,Afghanistan,18,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Tanveer Sangha,Australia,20,BOWLER,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Manav Suthar,India,19,BOWLER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Milind Tandon,India,28,BOWLER,RHB,LEFT ARM Slow Unorthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Sagar Udeshi,India,35,BOWLER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
